,13C,15N,C/N
BLWD-C2-67.5-68-136,-31.506207,3.18921,13.23474886
BLWD-C2-68.5-69-138,-30.463126,3.44156,19.48730556
BLWD-C2_69.5-70-140,-30.1177155,3.0771666,18.24391294
BLWD-C2_70.5-71-142,-29.196947,2.871249,19.3269667
BLWD-C2_71.5-72-144,-30.0531345,2.9711796,20.83702053
BLWD-C2_72.5-73-146,-29.022774,2.1818288,32.00401733
BLWD-C2_73.5-74-148,-30.1744685,2.8298636,25.48082596
BLWD-C2_74.5-75-150,-29.5677985,3.4132968,32.69487974
BLWD-C2_75.5-76-152,-30.0022525,2.73498,14.41426336
BLWD-C2_76.5-77-154,-30.2331785,2.98733,14.8623723
BLWD-C2-77.5-78-156,-29.9122305,1.9264506,29.59451762
BLWD-C2-78.5-79-158,-31.267122,2.7678055,16.04886378
BLWD-C2-79.5-80-160,-27.9344025,2.2742032,28.7586966
BLWD-C2-80.5-81-162,-28.974713,3.8766514,
BLWD-C2-81.5-82-164,-29.814021,3.8233705,22.69719286
BLWD-C2-82.5-83-166,,,22.13654153
BLWD-C2-83.5-84-168,-28.3815105,3.4343194,27.47113123
BLWD-C2-84.5-85-170,-28.8913705,3.2865403,29.07681322
BLWD-C2-85.5-86-172,-26.4558085,3.7308829,27.29019955
BLWD-v174-86.5-87,-31.8505195,3.3006145,15.27652057
BLWD-v176-87.5-88,-31.0170945,3.6936868,15.66819128
BLWD-V178-88.5-89,-30.194455,3.9178687,31.8257087
BLWD-V180-89.5-90,-30.416048,3.7137928,18.93527045
BLWD-V182-90.5-91,-29.1678715,3.4182346,18.53855288
BLWD-V184-91.5-92,-29.5443835,3.5680243,23.5193696
BLWD-V186-92.5-93,-30.159157,3.6223105,23.93613452
BLWD-V188-93.5-94,-29.837553,3.5861197,25.47075864
BLWD-V190-94.5-95,-29.980706,2.2289647,21.63091266
BLWD-V192-95.5-96,-27.7324195,2.3144152,22.82329345
BLWD-V194-96.5-97,-28.6717385,1.7313412,21.46873288
BLWD-V196-97.5-98,-28.306012,1.9414489,20.60043768
BLWD-V198-98.5-99,-28.87078,2.5838356,18.3136113
BLWD-V200-99.5-100,,,
BLWD-V202-100.5-101,-28.2658115,1.7846221,22.2690041
BLWD-204-101.5-102,-32.9447575,2.4843109,21.85745743
BLWD-206-102.5-103,-32.8251365,3.3488689,20.61745026
BLWD-208-103.5-104,-31.8112995,5.0186722,20.72280515
BLWD-210-104.5-105,-33.3330355,3.2845297,20.24684733
BLWD-212-105.5-106,-29.659102,2.4159505,20.69422791
BLWD-214-106.5-107,-32.0525025,3.3006145,11.73084991
BLWD-216-107.5-108,-33.8448565,2.43103,15.3454784
BLWD-218-108.5-109,-32.2525245,1.0145623,
BLWD-220-109.5-110,-31.1661305,1.2216541,18.05579534
